retailer,item_key,product,brand_norm,canonical_name,n_strict_keys,fat_pct,pack_std,pack_std_unit,first_title,first_name,n_rows,date_min,date_max
Novus,cheese|castello|крем чилі та імбиром,cheese,castello,крем чилі та імбиром,1,30.0,0.125,kg,Крем-сир Castello з чилі та імбиром 30% 125г,Крем-сир з чилі та імбиром,1,2025-11-04,2025-11-04
Novus,cheese|cesvaine|пажитником,cheese,cesvaine,пажитником,1,45.0,0.2,kg,Сир Cesvaine з пажитником 45% 200г,Сир з пажитником,1,2025-11-04,2025-11-04
Novus,cheese|cesvaine|яленими томатами часником,cheese,cesvaine,яленими томатами часником,1,45.0,0.2,kg,Сир Cesvaine з в'яленими томатами і часником 45% 200г,Сир з в'яленими томатами і часником,1,2025-11-04,2025-11-04
Novus,cheese|cheese|club гауда твердий нарізка,cheese,cheese,club гауда твердий нарізка,1,45.0,0.135,kg,Сир Cheese Club Гауда твердий нарізка 45% 135г,Сир Club Гауда твердий нарізка,1,2026-01-08,2026-01-08
Novus,cheese|cheese|club пріма гранде витриманий твердий,cheese,cheese,club пріма гранде витриманий твердий,1,50.0,0.15,kg,Сир Cheese Club Пріма Гранде витриманий твердий 50% 150г,Сир Club Пріма Гранде витриманий твердий,1,2025-11-04,2025-11-04
Novus,cheese|cheese|gallery емменталлер,cheese,cheese,gallery емменталлер,1,45.0,,,Сир Cheese Gallery Емменталлер 45%,Сир Gallery Емменталлер,1,2025-11-04,2025-11-04
Novus,cheese|cheese|gallery козячий,cheese,cheese,gallery козячий,1,50.0,,,Сир Cheese Gallery козячий 50%,Сир Gallery козячий,1,2025-11-04,2025-11-04
Novus,cheese|coburger|баварський блю,cheese,coburger,баварський блю,1,45.0,0.15,kg,Сир Coburger Баварський блю 45% 150г,Сир Баварський блю,1,2025-11-04,2025-11-04
Novus,cheese|coburger|баварський кремовий,cheese,coburger,баварський кремовий,1,45.0,0.15,kg,Сир Coburger Баварський кремовий 45% 150г,Сир Баварський кремовий,1,2026-01-08,2026-01-08
Novus,cheese|coburger|сирні кульки камамбер журавлиною,cheese,coburger,сирні кульки камамбер журавлиною,1,45.0,0.35,kg,Сирні кульки Coburger Камамбер з журавлиною 45% 350г,Сирні кульки Камамбер з журавлиною,1,2025-11-04,2025-11-04
Novus,cheese|coburger|сирні палички моцарелла томатом та паприкою,cheese,coburger,сирні палички моцарелла томатом та паприкою,1,45.0,0.3,kg,Сирні палички Coburger Моцарелла з томатом та паприкою 45% 300г,Сирні палички Моцарелла з томатом та паприкою,1,2025-11-04,2025-11-04
Novus,cheese|cuvee|oro brazzale твердий мікс тертий,cheese,cuvee,oro brazzale твердий мікс тертий,1,32.0,0.1,kg,Сир Cuvee Oro Brazzale твердий мікс тертий 32% 100г,Сир Oro Brazzale твердий мікс тертий,1,2025-11-04,2025-11-04
Novus,cheese|cир|ilchester чеддер ароматом копченого яблука,cheese,cир,ilchester чеддер ароматом копченого яблука,1,54.0,,,Cир Ilchester Чеддер з ароматом копченого яблука 54%,Ilchester Чеддер з ароматом копченого яблука,1,2025-11-04,2025-11-04
Novus,cheese|cир|paturages comtois брі,cheese,cир,paturages comtois брі,1,60.0,0.13,kg,Cир Paturages Comtois Брі 60% 130г,Paturages Comtois Брі,1,2025-11-04,2025-11-04
Novus,cheese|cир|val de saone брі,cheese,cир,val de saone брі,1,60.0,0.5,kg,Cир Val de Saone Брі 60% 500г,Val de Saone Брі,1,2026-01-08,2026-01-08
Novus,cheese|cир|запечений alpenhain камамбер та соус із журавлини,cheese,cир,запечений alpenhain камамбер та соус із журавлини,1,57.0,0.2,kg,Cир запечений Alpenhain Камамбер та соус із журавлини 57% 200г,запечений Alpenhain Камамбер та соус із журавлини,1,2025-11-04,2025-11-04
Novus,cheese|cоbreros|перлина козячий апельсином,cheese,cоbreros,перлина козячий апельсином,1,45.0,0.09,kg,Сир Cоbreros Перлина козячий з апельсином 45% 90г,Сир Перлина козячий з апельсином,1,2025-11-04,2025-11-04
Novus,cheese|dallicarillo|santa marta моцарелла,cheese,dallicarillo,santa marta моцарелла,1,17.0,0.1,kg,Сир DalliCarillo Santa Marta Моцарелла 17% 100г,Сир Santa Marta Моцарелла,1,2025-11-04,2025-11-04
Novus,cheese|danablu|grand or блакитною пліснявою,cheese,danablu,grand or блакитною пліснявою,1,50.0,,,Сир Danablu Grand’Or з блакитною пліснявою 50%,Сир Grand’Or з блакитною пліснявою,1,2025-11-04,2025-11-04
Novus,cheese|dodoni|barrel aged фета,cheese,dodoni,barrel aged фета,1,43.0,0.15,kg,Сир Dodoni Barrel Aged Фета 43% 150г,Сир Barrel Aged Фета,1,2025-11-04,2025-11-04
Novus,cheese|dziugas|mild міс,cheese,dziugas,mild міс,1,40.0,0.18,kg,Сир Dziugas Mild 12 міс 40% 180г,Сир Mild 12 міс,1,2025-11-04,2025-11-04
Novus,cheese|dziugas|mild твердий місяців ваговий,cheese,dziugas,mild твердий місяців ваговий,1,40.0,,,Сир Dziugas Mild твердий 12 місяців 40% ваговий,Сир Mild твердий 12 місяців ваговий,1,2025-11-04,2025-11-04
Novus,cheese|dziugas|для пасти суміш тертий,cheese,dziugas,для пасти суміш тертий,1,,0.2,kg,Сир Dziugas для пасти суміш тертий 200г,Сир для пасти суміш тертий,1,2025-12-14,2025-12-14
Novus,cheese|dziugas|міс дозрівання колотий,cheese,dziugas,міс дозрівання колотий,1,40.0,0.1,kg,Сир Dziugas 24 міс. дозрівання колотий 40% 100г,Сир 24 міс дозрівання колотий,1,2025-11-04,2025-11-04
Novus,cheese|dziugas|місяців,cheese,dziugas,місяців,1,40.0,0.1,kg,Сир Dziugas 12 місяців 40% 100г,Сир 12 місяців,1,2025-12-26,2025-12-26
Novus,cheese|dziugas|пармезан,cheese,dziugas,пармезан,1,40.0,,,Сир Dziugas Пармезан 40%,Сир Пармезан,1,2025-12-19,2025-12-19
Novus,cheese|dziugas|суміш тертих сирів для піци,cheese,dziugas,суміш тертих сирів для піци,1,42.0,0.2,kg,Сир Dziugas суміш тертих сирів для піци 42% 200г,Сир суміш тертих сирів для піци,1,2026-01-08,2026-01-08
Novus,cheese|dziugas|твердий безлактозний місяці,cheese,dziugas,твердий безлактозний місяці,1,40.0,0.18,kg,Сир твердий Dziugas безлактозний 2 місяці 40% 180г,Сир твердий безлактозний 2 місяці,1,2025-11-04,2025-11-04
Novus,cheese|dziugas|твердий безлактозний місяців,cheese,dziugas,твердий безлактозний місяців,1,40.0,0.18,kg,Сир твердий Dziugas безлактозний 24 місяців 40% 180г,Сир твердий безлактозний 24 місяців,1,2025-12-10,2025-12-10
Novus,cheese|dziugas|твердий тертий пластівці безлактозний,cheese,dziugas,твердий тертий пластівці безлактозний,1,40.0,0.1,kg,Сир Dziugas твердий тертий (пластівці) безлактозний 40% 100г,Сир твердий тертий пластівці безлактозний,1,2026-01-08,2026-01-08
Novus,cheese|emborg|камамбер,cheese,emborg,камамбер,1,50.0,0.125,kg,Сир Emborg Камамбер 50% 125г,Сир Камамбер,1,2025-12-19,2025-12-19
Novus,cheese|entremont|gruyere,cheese,entremont,gruyere,1,45.0,0.2,kg,Сир Entremont Gruyere 45% 200г,Сир Gruyere,1,2025-11-04,2025-11-04
Novus,cheese|entremont|комте,cheese,entremont,комте,1,45.0,,,Сир Entremont Комте 45%,Сир Комте,1,2025-11-04,2025-11-04
Novus,cheese|entremont|раклет нарізаний,cheese,entremont,раклет нарізаний,1,48.0,0.25,kg,Сир Entremont Раклет нарізаний 48% 250г,Сир Раклет нарізаний,1,2025-11-04,2025-11-04
Novus,cheese|exquisa|крем fitline зі смаженою цибулею,cheese,exquisa,крем fitline зі смаженою цибулею,1,14.6,0.175,kg,"Крем-сир Exquisa Fitline зі смаженою цибулею 14,6% 175г",Крем-сир Fitline зі смаженою цибулею,1,2025-11-04,2025-11-04
