dataset,product,left,right,metric,pearson,spearman,n_obs
Silpo,Інше/невідомо,Latteria,Лавка традицій,log_price,0.07332017280135458,0.06702888153466934,48
Silpo,Інше/невідомо,Latteria,Малина,log_price,0.14206941946755328,0.13747973603345975,48
Silpo,Інше/невідомо,Latteria,Мацоні,log_price,-0.0835301888321946,-0.12063963169215514,48
Silpo,Інше/невідомо,Latteria,Напій,log_price,0.11353416569826981,0.227193331130411,48
Silpo,Інше/невідомо,Latteria,Персик і маракуя,log_price,-7.677545629772921e-16,,48
Silpo,Інше/невідомо,Latteria,Повна Чаша,log_price,-0.012351980049454645,0.05380212854632139,48
Silpo,Інше/невідомо,Latteria,Полуниця,log_price,0.04536598077709668,0.08910467416826387,48
Silpo,Інше/невідомо,Latteria,Премія,log_price,0.05969731942316297,0.1575993419649932,48
Silpo,Інше/невідомо,Latteria,ПростоНаше,log_price,0.23104768852567198,0.3522892427261081,48
Silpo,Інше/невідомо,Latteria,РадиМо,log_price,0.03325981008178668,-0.2376532479787391,48
Silpo,Інше/невідомо,Latteria,Слов'яночка,log_price,-0.20620949584900014,-0.15601770182429014,48
Silpo,Інше/невідомо,Latteria,Снек,log_price,0.2729889605176457,0.17175696879224808,47
Silpo,Інше/невідомо,Latteria,Сільпо,log_price,0.0022016669107422357,-0.3397575620711345,41
Silpo,Інше/невідомо,Latteria,Турецький,log_price,0.005801000067052788,0.01732768038177179,48
Silpo,Інше/невідомо,Latteria,Тістечко,log_price,0.07922527065651148,0.12876495293651233,48
Silpo,Інше/невідомо,Latteria,Ферма,log_price,0.03953439911297194,-0.20158075072716442,48
Silpo,Інше/невідомо,Latteria,Це – яйце!,log_price,-0.14684701754469534,-0.11110588547407647,47
Silpo,Інше/невідомо,Latteria,Це-Яйце!,log_price,0.06448268095196882,0.1124151924023147,48
Silpo,Інше/невідомо,Latteria,Чарівний Птах,log_price,-0.23859391926727885,-0.202445057376184,48
Silpo,Інше/невідомо,Latteria,Чарівний птах,log_price,0.04676791289016938,0.08765345109247681,47
