"Country or Area","Year","Commodity","Flow","Trade (USD)","Weight (kg)","Quantity Name","Quantity"
"Ukraine","2022","Birds' eggs, in shell; fresh, not for incubation, other than fowls of the species Gallus domesticus (domestic hens)","Export","42.17","6","Weight in kilograms","6"
"Ukraine","2022","Eggs; birds' eggs, yolks, dried, whether or not containing added sugar or other sweetening matter","Export","1176216.8","155404","Weight in kilograms","155404"
"Ukraine","2022","Eggs; birds' eggs, yolks, dried, whether or not containing added sugar or other sweetening matter","Import","181386.86","24000","Weight in kilograms","24000"
"Ukraine","2022","Eggs; birds' eggs, yolks, fresh, cooked by steaming or by boiling in water, moulded, frozen or otherwise preserved, whether or not containing added sugar or other sweetening matter","Export","444462.67","137756","Weight in kilograms","137756"
"Ukraine","2022","Eggs; birds' eggs (not in shell, excluding yolks only), dried, whether or not containing added sugar or other sweetening matter","Import","54752.87","7260","Weight in kilograms","7260"
"Ukraine","2022","Eggs; birds' eggs (not in shell, excluding yolks only), dried, whether or not containing added sugar or other sweetening matter","Export","17485591.81","2460857.5","Weight in kilograms","2460857.5"
"Ukraine","2022","Eggs; birds' eggs (not in shell, excluding yolks only), fresh, cooked by steaming or boiling in water, moulded, frozen, otherwise preserved, whether or not containing added sugar or other sweetening matter","Export","4099460.31","2381347","Weight in kilograms","2381347"
"Ukraine","2022","Honey; natural","Import","440195.41","146518","Weight in kilograms","146518"
"Ukraine","2022","Honey; natural","Export","137945325.53","48371842.06","Weight in kilograms","48371842.06"
"Ukraine","2022","Animal products; edible, n.e.c. in this or other chapters","Export","157584.33","4229","Weight in kilograms","4229"
"Ukraine","2021","Dairy produce; milk and cream, not concentrated, not containing added sugar or other sweetening matter, of a fat content, by weight, not exceeding 1%","Export","181561.6","375595.32","Weight in kilograms","375595.32"
