item_key,silpo_product,silpo_brand_norm,silpo_canonical_name,silpo_first_name,novus_brand_norm,novus_canonical_name,novus_first_name,silpo_n_rows,novus_n_rows,strict_alignment_flag,combined_rows
yogurt_dessert|галичина|карпатський вишня брусниця,yogurt_dessert,галичина,карпатський вишня брусниця,Йогурт Карпатський вишня-брусниця,галичина,карпатський вишня брусниця,Йогурт Карпатський вишня-брусниця,48.0,1.0,1,49.0
yogurt_dessert|галичина|карпатський злаки,yogurt_dessert,галичина,карпатський злаки,Йогурт Карпатський злаки,галичина,карпатський злаки,Йогурт Карпатський Злаки,48.0,1.0,1,49.0
yogurt_dessert|галичина|карпатський лохина чорниця,yogurt_dessert,галичина,карпатський лохина чорниця,Йогурт Карпатський лохина-чорниця,галичина,карпатський лохина чорниця,Йогурт Карпатський Лохина-чорниця,48.0,1.0,1,49.0
yogurt_dessert|галичина|карпатський малина гранат,yogurt_dessert,галичина,карпатський малина гранат,Йогурт Карпатський малина-гранат,галичина,карпатський малина гранат,Йогурт Карпатський малина-гранат,48.0,1.0,1,49.0
yogurt_dessert|галичина|карпатський чорниця злаки,yogurt_dessert,галичина,карпатський чорниця злаки,Йогурт Карпатський чорниця-злаки,галичина,карпатський чорниця злаки,Йогурт Карпатський Чорниця-злаки,48.0,1.0,1,49.0
yogurt_dessert|галичина|манго маракуйя,yogurt_dessert,галичина,манго маракуйя,Йогурт манго-маракуйя стакан,галичина,манго маракуйя,Йогурт Манго маракуйя,48.0,1.0,1,49.0
yogurt_dessert|дольче|глазурований вишня,yogurt_dessert,дольче,глазурований вишня,Сирок глазурований вишня,дольче,глазурований вишня,Сирок глазурований вишня,48.0,1.0,1,49.0
yogurt_dessert|дольче|глазурований кокос,yogurt_dessert,дольче,глазурований кокос,Сирок глазурований кокос,дольче,глазурований кокос,Сирок глазурований кокос,48.0,1.0,1,49.0
yogurt_dessert|дольче|ківі,yogurt_dessert,дольче,ківі,Йогурт ківі,дольче,ківі,Йогурт ківі,48.0,1.0,1,49.0
yogurt_dessert|дольче|ківі двошаровий,yogurt_dessert,дольче,ківі двошаровий,Йогурт ківі двошаровий стакан,дольче,ківі двошаровий,Йогурт ківі двошаровий,48.0,1.0,1,49.0
yogurt_dessert|дольче|полуниця банан,yogurt_dessert,дольче,полуниця банан,Йогурт полуниця-банан стакан,дольче,полуниця банан,Йогурт Полуниця-Банан,48.0,1.0,1,49.0
yogurt_dessert|дольче|полуниця двошаровий,yogurt_dessert,дольче,полуниця двошаровий,Йогурт полуниця двошаровий стакан,дольче,полуниця двошаровий,Йогурт полуниця двошаровий,48.0,1.0,1,49.0
yogurt_dessert|дольче|полуниця лайм ята,yogurt_dessert,дольче,полуниця лайм ята,Йогурт полуниця-лайм-м'ята,дольче,полуниця лайм ята,Йогурт Полуниця-лайм-м'ята,48.0,1.0,1,49.0
yogurt_dessert|закваска|бактеріальна vivo грецький,yogurt_dessert,закваска,бактеріальна vivo грецький,бактеріальна Vivo грецький йогурт,закваска,бактеріальна vivo грецький,бактеріальна Vivo Грецький йогурт х,48.0,1.0,1,49.0
yogurt_dessert|марійка|десерт сирковий печивом,yogurt_dessert,марійка,десерт сирковий печивом,Десерт сирковий з печивом,марійка,десерт сирковий печивом,Десерт сирковий з печивом +,48.0,1.0,1,49.0
yogurt_dessert|молокія|попкорн карамелі,yogurt_dessert,молокія,попкорн карамелі,Йогурт білий попкорн в карамелі,молокія,попкорн карамелі,Йогурт білий + попкорн у карамелі,48.0,1.0,1,49.0
yogurt_dessert|молокія|попкорн карамелі какао,yogurt_dessert,молокія,попкорн карамелі какао,Йогурт білий попкорн в карамелі з какао,молокія,попкорн карамелі какао,Йогурт білий + попкорн у карамелі з какао,48.0,1.0,1,49.0
yogurt_dessert|на здоров я|грецький,yogurt_dessert,на здоров я,грецький,Йогурт Грецький,на здоров я,грецький,Йогурт Грецький,48.0,1.0,1,49.0
yogurt_dessert|на здоров я|турецький,yogurt_dessert,на здоров я,турецький,Йогурт Турецький,на здоров я,турецький,Йогурт Турецький,48.0,1.0,1,49.0
